#
# Full target list for orbit 97, sector 45
# Created Tue Nov  2 12:27:10 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
800167973	3	2	17.81	135.7686	  8.6372
800174307	3	3	19.40	139.9817	  6.5479
800186293	3	2	17.56	138.1461	  8.1373
800187849	3	2	18.10	137.5227	  8.2533
800190603	3	2	17.42	137.6226	  9.0341
800190744	3	2	19.38	137.1803	  9.0123
800195458	3	2	17.32	138.9042	  9.7262
800195498	3	2	17.53	138.8667	  9.7926
800195721	3	2	17.50	138.2770	  9.5575
800197968	3	2	17.82	139.1522	 10.4076
800198600	3	2	17.99	136.4984	  8.7233
800202759	3	2	17.63	135.5628	  9.1265
800202793	3	2	17.82	135.7849	  9.2116
800206666	3	2	17.46	136.3743	 10.3495
800208092	3	2	17.27	138.1898	 10.4126
800212340	3	2	17.35	136.8058	 10.7131
800223926	3	2	19.68	139.5745	 13.4109
800242456	3	2	17.03	131.4070	  6.8961
800242727	3	2	17.08	131.8299	  6.9002
800243798	3	2	16.91	131.0200	  7.1620
800244229	3	2	19.76	131.4956	  7.3605
800244750	3	2	19.81	131.5304	  7.7001
800251073	3	2	17.72	130.7895	  8.1668
800267735	3	2	19.03	129.0139	  7.6264
800268471	3	2	17.64	129.4004	  7.8519
800269285	3	2	18.30	129.3639	  8.3411
800278478	3	2	17.79	129.1565	  9.2307
800279880	3	2	 8.38	132.6758	  7.8641
800288322	3	2	19.02	132.2244	  8.9976
800296505	3	2	17.52	132.4568	  9.3981
800299672	3	2	18.57	133.6160	 10.3190
800300386	3	2	18.83	130.8242	  8.5425
800300416	3	2	17.57	130.7683	  8.5448
800303513	3	2	18.24	131.6637	  9.2352
800304831	3	2	18.00	131.0857	  9.5225
800306991	3	2	11.45	130.6872	  9.5533
800308357	3	2	17.20	130.1100	  9.6532
800313553	3	2	19.19	131.9732	 10.2538
800317412	3	2	18.00	131.6028	 10.4015
800322248	3	2	17.34	132.2802	 11.6571
800331429	2	1	17.08	125.8766	  8.2838
800334861	2	1	17.86	126.5141	  8.6169
800337777	2	1	17.05	126.5611	  9.2482
800347207	2	1	17.61	127.0355	  9.7040
800347792	2	1	17.72	127.0190	  9.8323
800352495	2	1	17.99	125.1525	  8.9295
800353047	2	1	19.68	125.3431	  8.9172
800357115	2	1	17.09	126.3519	  9.6796
800359050	2	1	19.46	126.0954	  9.9396
800359908	2	1	17.63	124.4369	  9.2220
800363258	2	1	19.36	124.6945	  9.9791
800380099	2	1	17.84	126.7492	 11.3126
800382974	3	2	16.54	129.4930	 10.0485
800389368	3	2	17.77	128.8269	 10.7161
800403260	3	2	20.09	131.0917	 12.4756
800406608	3	2	17.84	128.4345	 11.5877
800409070	3	2	18.72	128.7936	 11.9098
800412184	2	1	17.82	127.2365	 11.8823
800420812	3	2	17.25	130.2322	 13.0581
800421654	3	2	18.01	130.2696	 13.3442
800422293	3	2	18.13	129.5983	 13.3584
800430700	3	2	17.24	135.9154	 10.5370
800435391	3	2	19.30	135.0506	 11.1461
800452139	3	2	17.07	132.7751	 12.0326
800452592	3	2	 9.64	132.8643	 12.1278
800457862	3	2	17.75	135.6152	 12.8683
800459235	3	2	17.89	135.7976	 13.6091
800467692	3	2	17.98	137.0964	 12.7844
800470228	3	2	16.85	137.9838	 13.9102
800474985	3	2	18.44	138.9153	 14.6486
800475848	3	2	19.72	138.2846	 14.8333
800476509	3	2	17.59	139.2298	 15.0353
800478600	3	2	17.53	136.9611	 13.9439
800481015	3	2	17.72	136.6939	 14.6283
800491500	3	2	18.12	137.7911	 16.3187
800494100	3	2	19.03	132.1814	 12.6750
800494479	3	2	18.39	131.9357	 12.8837
800495673	3	2	17.74	133.0277	 13.2123
800502681	3	2	17.64	133.3115	 13.6056
800512479	3	2	18.49	131.0880	 13.9688
800513681	3	2	18.01	130.5961	 14.1039
800514016	3	2	17.77	131.4868	 13.8698
800514037	3	2	17.55	131.4223	 13.9249
800518070	3	2	17.98	129.9739	 14.4627
800526483	3	2	17.58	132.8970	 16.3103
800527472	3	2	18.36	131.5769	 15.7388
800532392	3	2	18.38	134.8732	 15.1225
800534517	3	2	17.53	135.3592	 15.8516
800537158	3	2	 9.77	135.0526	 15.8251
800537984	3	2	17.74	135.4004	 16.4510
800540367	3	2	17.18	135.8853	 16.4336
800543271	3	2	16.94	136.0320	 16.8516
800543822	3	2	17.23	135.3897	 16.9617
800551434	3	2	19.84	133.3231	 16.8058
800554794	3	2	17.93	133.2586	 17.8119
800561289	3	1	17.48	135.1234	 18.3282
800562727	3	1	17.73	135.1711	 19.1206
800573205	3	1	19.23	137.7602	 17.9146
800578263	3	1	18.68	139.3781	 18.3860
800578925	3	1	18.05	139.5511	 19.0427
800580692	3	1	19.50	138.8002	 19.1874
800582345	3	1	17.03	139.3297	 19.9108
800582743	3	1	17.75	139.4790	 20.2680
800582918	3	1	17.51	139.0078	 20.1328
800583062	3	1	17.11	138.9924	 20.2684
800584472	3	1	17.49	136.2081	 18.7996
800585663	3	1	17.87	137.4734	 19.2185
800587805	3	1	17.01	135.9699	 19.6121
800592118	3	1	19.56	138.7220	 20.3364
800596573	3	1	17.63	139.7742	 20.3879
800596707	3	1	17.48	139.9938	 20.6722
800599560	3	1	16.92	138.7654	 21.6269
800599742	3	1	17.36	138.5482	 21.8161
800616129	2	1	18.24	123.7573	 10.9852
800630175	2	1	17.82	124.5286	 12.1987
800638887	2	1	18.08	122.1452	 11.8197
800646797	2	1	17.79	121.1295	 12.1352
800647527	2	1	18.06	121.8773	 12.3076
800653570	2	1	17.80	123.4346	 12.3467
800656737	2	1	17.95	123.7402	 13.0101
800658141	2	1	16.69	124.9474	 13.1310
800659598	2	1	17.50	124.0758	 13.2722
800668186	2	1	16.51	123.2730	 14.0547
800668650	2	1	19.82	123.8800	 14.1734
800673711	2	1	17.61	127.4365	 13.3840
800678542	2	1	17.64	126.6440	 13.4109
800687095	2	1	18.17	127.2882	 13.9702
800694623	2	1	17.99	124.8319	 13.7569
800696644	2	1	20.13	125.7905	 14.1220
800705832	2	1	17.09	125.2241	 15.3868
800717280	2	1	18.81	126.3498	 16.2608
800717829	2	1	19.02	126.2353	 16.6097
800719597	2	1	17.61	120.9998	 12.4955
800735631	2	1	19.44	121.0733	 14.1927
800736764	2	1	17.47	122.5320	 13.6134
800738816	2	1	19.30	122.1164	 13.7554
800744572	2	1	17.93	122.9240	 14.8389
800747619	2	1	19.20	121.0503	 14.4046
800769382	2	1	19.46	120.0563	 15.9553
800777350	2	1	17.66	123.5786	 15.2773
800802651	2	1	17.73	122.9047	 16.3541
800805423	2	1	11.46	123.2489	 16.5621
800806959	2	1	17.66	123.3679	 17.1381
800813157	2	1	17.85	122.3808	 17.1888
800823400	2	1	 5.50	123.0552	 17.6476
800823403	2	1	 5.11	123.0538	 17.6467
800835334	2	1	18.74	128.9095	 15.4407
800838110	2	1	17.41	129.2094	 15.8906
800839051	2	1	18.25	129.0420	 16.0996
